                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5969,                 8.4127,                 1.2894,                0.78614,                0.00871,                0.00033,                  6e-05,                 1.2875,                0.79881,                 1.0287,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1303,                0.88014,                0.71612,                0.31529,                0.04681,                0.01485,                0.00773,                 1.2918,                0.80376,                 1.6004,              0.0066272,              0.0066272,              0.0066272
                      3,                0.72907,                 1.0872,                0.36081,                0.32732,                0.10255,                0.05582,                0.03254,                 1.0037,                0.94407,                0.68943,              0.0098872,              0.0098872,              0.0098872
                      4,                0.63247,                 0.9932,                0.29814,                0.48457,                0.37934,                0.33649,                0.20513,                0.50169,                0.97518,                0.26895,               0.009835,               0.009835,               0.009835
                      5,                0.58171,                0.91291,                0.26555,                0.60412,                0.38052,                0.40869,                0.24602,                0.51557,                0.89683,                0.28695,               0.009835,               0.009835,               0.009835
                      6,                0.55089,                0.85127,                0.25162,                0.74774,                0.46411,                0.54072,                0.35137,                0.47254,                0.77452,                0.25142,                0.00978,                0.00978,                0.00978
                      7,                0.52897,                0.80686,                0.23564,                0.79923,                0.54748,                0.61768,                0.39905,                0.45129,                0.71284,                0.24091,               0.009725,               0.009725,               0.009725
                      8,                0.51678,                0.76635,                0.22983,                0.74162,                0.55547,                0.64865,                0.42096,                0.45075,                0.70316,                 0.2407,                0.00967,                0.00967,                0.00967
                      9,                 0.5059,                0.74081,                0.22659,                0.69345,                0.64801,                0.63469,                0.42519,                0.43288,                0.67538,                0.23106,               0.009615,               0.009615,               0.009615
                     10,                 0.4931,                0.71194,                 0.2178,                 0.7375,                0.69959,                0.68926,                0.46258,                0.43552,                0.63772,                0.23172,                0.00956,                0.00956,                0.00956
                     11,                 0.4922,                0.69329,                0.21653,                0.82359,                 0.6475,                0.70318,                 0.4679,                0.42997,                0.60974,                0.22588,               0.009505,               0.009505,               0.009505
                     12,                0.48265,                0.67536,                0.21198,                0.83843,                0.67422,                0.73515,                0.48628,                0.41982,                0.59441,                0.22621,                0.00945,                0.00945,                0.00945
                     13,                0.47919,                0.66436,                0.21071,                  0.798,                0.71855,                0.73431,                0.48676,                0.41769,                0.57934,                0.22155,               0.009395,               0.009395,               0.009395
                     14,                0.46946,                0.64042,                0.20607,                 0.8556,                0.71203,                0.73335,                0.48653,                 0.4142,                0.55878,                0.21931,                0.00934,                0.00934,                0.00934
                     15,                 0.4662,                0.63106,                0.20355,                0.85849,                0.71617,                0.76377,                0.51107,                0.41216,                0.55585,                0.21702,               0.009285,               0.009285,               0.009285
                     16,                0.46212,                0.63034,                0.20143,                0.86829,                0.74113,                0.75216,                0.51282,                0.40195,                0.55959,                0.21404,                0.00923,                0.00923,                0.00923
                     17,                0.45836,                0.61848,                0.20025,                0.86779,                0.74321,                0.77463,                0.52584,                0.39815,                0.54374,                0.20933,               0.009175,               0.009175,               0.009175
                     18,                0.46159,                0.60696,                0.19899,                0.88926,                0.76757,                0.80934,                0.55011,                0.39461,                0.51939,                  0.209,                0.00912,                0.00912,                0.00912
                     19,                0.45233,                0.61273,                0.19656,                0.85503,                0.72811,                0.77971,                0.51823,                0.38938,                0.53485,                0.20405,               0.009065,               0.009065,               0.009065
                     20,                0.44928,                  0.598,                0.19433,                0.91756,                0.77515,                0.80111,                0.54902,                0.39037,                0.52964,                0.20523,                0.00901,                0.00901,                0.00901
                     21,                0.44779,                0.58591,                0.19249,                 0.9099,                0.78618,                0.82334,                 0.5672,                0.39157,                0.51748,                0.20316,               0.008955,               0.008955,               0.008955
                     22,                0.44398,                0.58428,                0.19111,                0.91189,                0.79872,                0.82877,                0.56596,                0.38513,                0.51037,                0.20061,                 0.0089,                 0.0089,                 0.0089
                     23,                 0.4458,                0.58015,                0.19202,                0.90299,                  0.765,                0.78938,                0.53964,                0.38607,                0.50454,                0.20335,               0.008845,               0.008845,               0.008845
                     24,                 0.4428,                0.57463,                0.19144,                0.87894,                0.80917,                0.80367,                0.55938,                0.37803,                0.50702,                0.19841,                0.00879,                0.00879,                0.00879
                     25,                0.43388,                0.57355,                0.18728,                0.87679,                0.76366,                0.78581,                0.54441,                0.37935,                0.49917,                0.19929,               0.008735,               0.008735,               0.008735
                     26,                 0.4505,                0.56811,                 0.1898,                0.93099,                  0.812,                 0.8296,                0.57315,                0.38304,                0.49751,                0.20051,                0.00868,                0.00868,                0.00868
                     27,                0.45029,                0.56028,                0.19104,                0.84248,                0.82849,                0.82604,                0.57472,                0.38004,                 0.4871,                0.19823,               0.008625,               0.008625,               0.008625
                     28,                0.46935,                0.56089,                0.19705,                0.89699,                0.81552,                 0.8882,                0.58954,                0.38257,                0.49407,                 0.2002,                0.00857,                0.00857,                0.00857
                     29,                0.47445,                0.55512,                0.19536,                0.91821,                0.81955,                0.82888,                0.57091,                0.38094,                0.48633,                0.19898,               0.008515,               0.008515,               0.008515
                     30,                0.44499,                0.55088,                0.18757,                  0.925,                0.76269,                0.79686,                0.55612,                0.37448,                0.49054,                0.19529,                0.00846,                0.00846,                0.00846
                     31,                0.45151,                0.54889,                 0.1884,                0.90809,                0.81445,                0.83648,                0.57406,                0.37309,                 0.4942,                0.19452,               0.008405,               0.008405,               0.008405
                     32,                0.46856,                 0.5435,                0.19111,                0.93694,                0.80277,                 0.8388,                0.57922,                  0.377,                  0.485,                0.19501,                0.00835,                0.00835,                0.00835
                     33,                0.50542,                0.54876,                0.20294,                 0.8938,                0.82731,                0.82499,                0.56946,                0.38365,                0.49089,                0.19761,               0.008295,               0.008295,               0.008295
                     34,                0.51151,                0.54105,                0.20444,                0.90414,                 0.8199,                0.84115,                0.57696,                0.37996,                 0.4853,                0.19445,                0.00824,                0.00824,                0.00824
                     35,                0.54312,                0.54537,                0.21551,                0.93974,                0.81331,                0.83872,                0.58007,                0.38754,                0.47855,                0.19842,               0.008185,               0.008185,               0.008185
                     36,                0.51218,                0.53865,                0.20443,                0.94031,                0.80891,                0.84173,                0.58112,                0.37989,                0.47634,                0.19702,                0.00813,                0.00813,                0.00813
                     37,                0.53273,                0.53444,                0.20968,                0.93641,                0.82652,                0.84023,                0.57771,                0.38142,                0.47793,                0.19651,               0.008075,               0.008075,               0.008075
                     38,                 0.4919,                0.53048,                0.19904,                0.93772,                 0.8202,                0.84869,                0.56506,                0.40063,                0.48479,                0.19988,                0.00802,                0.00802,                0.00802
                     39,                0.42735,                0.53319,                0.18216,                0.93899,                0.82729,                0.84932,                0.57382,                0.39551,                 0.4847,                0.19827,               0.007965,               0.007965,               0.007965
                     40,                0.41448,                0.53033,                0.17862,                0.94706,                 0.8275,                0.84528,                0.58058,                0.37427,                0.47784,                0.19334,                0.00791,                0.00791,                0.00791
                     41,                0.41657,                0.52965,                0.17725,                 0.9469,                 0.8248,                0.85517,                0.59615,                0.36776,                0.47069,                0.19175,               0.007855,               0.007855,               0.007855
                     42,                0.42536,                0.52427,                0.18009,                0.81608,                0.92534,                0.92051,                0.60526,                0.36575,                 0.4717,                0.18947,                 0.0078,                 0.0078,                 0.0078
                     43,                0.42119,                0.51952,                0.17767,                0.94776,                0.83121,                0.86061,                0.60199,                0.36663,                0.46915,                0.19022,               0.007745,               0.007745,               0.007745
                     44,                 0.4223,                0.52388,                0.17759,                0.94715,                0.82643,                 0.8622,                0.60264,                0.36539,                0.46851,                0.18981,                0.00769,                0.00769,                0.00769
                     45,                0.45518,                0.53248,                0.19019,                0.92465,                0.82392,                 0.8431,                 0.5919,                 0.3649,                  0.472,                0.18933,               0.007635,               0.007635,               0.007635
                     46,                0.43109,                0.51632,                0.18001,                0.92149,                0.82438,                0.84055,                0.59239,                0.36485,                0.46987,                0.18963,                0.00758,                0.00758,                0.00758
                     47,                0.43481,                0.52005,                0.18093,                0.94911,                 0.8225,                0.85332,                0.60341,                0.36526,                0.46701,                0.18976,               0.007525,               0.007525,               0.007525
                     48,                0.49137,                 0.5247,                0.19501,                 0.9504,                0.82229,                 0.8515,                0.59889,                0.36507,                0.46978,                 0.1891,                0.00747,                0.00747,                0.00747
                     49,                0.51507,                0.51522,                0.20037,                0.94935,                0.82131,                0.85157,                0.59936,                0.36642,                0.46511,                0.19074,               0.007415,               0.007415,               0.007415
                     50,                0.50828,                0.51119,                0.19921,                0.81631,                 0.9263,                0.90911,                0.60303,                0.36775,                0.46463,                0.19128,                0.00736,                0.00736,                0.00736
                     51,                0.45307,                 0.5066,                0.18493,                0.92711,                0.82413,                0.83987,                0.58855,                0.36939,                0.46382,                0.19253,               0.007305,               0.007305,               0.007305
                     52,                0.50724,                 0.5116,                0.19979,                0.92422,                0.82925,                0.83907,                0.58645,                0.37038,                0.46428,                0.19204,                0.00725,                0.00725,                0.00725
                     53,                0.52558,                0.51933,                0.20652,                0.94894,                0.81721,                0.85117,                0.59582,                0.37028,                0.46166,                 0.1923,               0.007195,               0.007195,               0.007195
                     54,                0.49845,                 0.5108,                0.19838,                0.94654,                0.82788,                0.85034,                0.59549,                 0.3706,                0.46067,                0.19136,                0.00714,                0.00714,                0.00714
                     55,                0.51409,                0.51641,                0.20176,                 0.9454,                0.82996,                0.85062,                0.59155,                0.37199,                0.46018,                0.19166,               0.007085,               0.007085,               0.007085
                     56,                0.45008,                0.50497,                0.18539,                 0.9461,                0.83101,                0.85117,                0.59285,                0.37195,                0.46069,                0.19186,                0.00703,                0.00703,                0.00703
                     57,                0.49852,                0.50642,                0.19542,                0.94545,                0.83239,                0.85202,                0.59287,                0.37172,                0.46297,                0.19148,               0.006975,               0.006975,               0.006975
                     58,                0.47733,                0.50302,                0.18891,                0.94605,                0.83213,                0.85187,                0.59118,                0.37117,                0.46314,                0.19126,                0.00692,                0.00692,                0.00692
                     59,                0.48039,                0.50336,                0.19032,                0.94661,                0.83251,                0.85203,                0.59567,                0.37091,                0.46303,                0.19134,               0.006865,               0.006865,               0.006865
                     60,                0.53178,                 0.5069,                0.20509,                0.94697,                0.83244,                0.85207,                0.59206,                0.37134,                0.46036,                0.19149,                0.00681,                0.00681,                0.00681
                     61,                0.54643,                0.51248,                0.21115,                0.94756,                0.83269,                0.85035,                0.59082,                0.37219,                0.46047,                0.19151,               0.006755,               0.006755,               0.006755
                     62,                0.46832,                0.50349,                0.18963,                0.94817,                0.83178,                0.85001,                0.59131,                0.37245,                0.45979,                0.19172,                 0.0067,                 0.0067,                 0.0067
                     63,                0.45768,                 0.5006,                0.18388,                0.94729,                0.83172,                 0.8498,                0.59168,                0.37226,                0.45841,                0.19158,               0.006645,               0.006645,               0.006645
                     64,                0.54521,                 0.5087,                0.21193,                0.94368,                 0.8337,                0.84918,                  0.592,                0.37186,                0.45872,                0.19161,                0.00659,                0.00659,                0.00659
                     65,                0.47853,                0.49864,                0.19163,                0.94516,                0.83376,                0.85041,                0.59171,                0.37176,                 0.4596,                0.19181,               0.006535,               0.006535,               0.006535
                     66,                0.39858,                0.49638,                 0.1696,                0.94724,                0.83333,                0.84985,                0.58957,                0.37226,                0.45787,                0.19225,                0.00648,                0.00648,                0.00648
                     67,                 0.5138,                 0.5063,                0.20505,                0.94557,                0.83446,                0.85012,                0.59079,                0.37285,                0.45554,                 0.1925,               0.006425,               0.006425,               0.006425
                     68,                0.50008,                0.50075,                0.19602,                0.94543,                0.83461,                0.84939,                0.58978,                0.37208,                0.45572,                0.19217,                0.00637,                0.00637,                0.00637
                     69,                0.50758,                0.50303,                0.19897,                0.94608,                0.83404,                0.84866,                0.58879,                0.37231,                0.45543,                0.19228,               0.006315,               0.006315,               0.006315
                     70,                0.48836,                0.49287,                0.19209,                0.94627,                0.83569,                0.84934,                 0.5893,                0.37189,                0.45577,                0.19196,                0.00626,                0.00626,                0.00626
                     71,                 0.4842,                0.49015,                0.19235,                0.94743,                0.83471,                0.84915,                0.58923,                0.37177,                0.45428,                0.19199,               0.006205,               0.006205,               0.006205
                     72,                0.48741,                0.49755,                0.19077,                0.94839,                0.83276,                0.84913,                0.59004,                 0.3718,                0.45439,                0.19196,                0.00615,                0.00615,                0.00615
                     73,                0.39467,                0.48491,                0.16585,                0.94955,                0.83356,                0.85071,                0.59143,                 0.3709,                0.45696,                0.19154,               0.006095,               0.006095,               0.006095
                     74,                 0.5137,                0.48899,                0.19891,                0.94727,                0.83309,                0.85098,                0.59278,                0.37127,                0.45811,                0.19174,                0.00604,                0.00604,                0.00604
                     75,                0.39991,                0.48351,                0.16742,                0.94725,                0.83306,                0.85174,                0.59363,                0.37212,                0.45653,                 0.1924,               0.005985,               0.005985,               0.005985
                     76,                0.48351,                0.49434,                0.19246,                0.94833,                0.83315,                0.85185,                0.59387,                0.37254,                0.45662,                0.19255,                0.00593,                0.00593,                0.00593
                     77,                0.48496,                0.49471,                0.18954,                0.94894,                0.83323,                0.85203,                0.59251,                0.37326,                0.45658,                0.19251,               0.005875,               0.005875,               0.005875
                     78,                0.46672,                0.48806,                0.18539,                0.94777,                0.83252,                0.85269,                0.59391,                0.37345,                 0.4576,                0.19284,                0.00582,                0.00582,                0.00582
                     79,                0.48867,                0.48539,                0.18982,                0.94765,                0.83234,                0.85281,                0.59409,                0.37402,                0.45506,                0.19317,               0.005765,               0.005765,               0.005765
                     80,                0.46173,                0.48708,                0.18205,                0.94732,                0.83374,                0.85233,                0.59372,                 0.3744,                0.45397,                0.19396,                0.00571,                0.00571,                0.00571
                     81,                0.53256,                0.49698,                0.20264,                0.94777,                0.83466,                0.85184,                0.59279,                 0.3738,                0.45548,                  0.193,               0.005655,               0.005655,               0.005655
                     82,                 0.4936,                0.49265,                0.19419,                0.94793,                0.83523,                0.85183,                0.59395,                0.37345,                 0.4545,                 0.1929,                 0.0056,                 0.0056,                 0.0056
                     83,                 0.5007,                0.49199,                0.19573,                0.94675,                0.83465,                0.85168,                 0.5971,                0.37265,                 0.4539,                0.19234,               0.005545,               0.005545,               0.005545
                     84,                0.51291,                0.49465,                0.20267,                0.94576,                0.83403,                 0.8522,                0.59838,                0.37254,                0.45312,                0.19291,                0.00549,                0.00549,                0.00549
                     85,                0.43148,                0.48337,                0.17618,                0.94379,                0.83401,                0.85218,                0.59747,                0.37167,                0.45356,                0.19277,               0.005435,               0.005435,               0.005435
                     86,                0.53168,                0.49756,                0.20647,                0.94247,                0.83371,                0.85233,                 0.5969,                0.37138,                0.45307,                0.19263,                0.00538,                0.00538,                0.00538
                     87,                0.44977,                0.48955,                0.18095,                0.94337,                0.83261,                0.85261,                0.59771,                0.37139,                0.45237,                0.19261,               0.005325,               0.005325,               0.005325
                     88,                0.46967,                0.48533,                0.18448,                0.94423,                0.83399,                0.85338,                0.59712,                0.37147,                0.45165,                0.19254,                0.00527,                0.00527,                0.00527
                     89,                0.49594,                0.48135,                0.19307,                0.94337,                0.83426,                0.85347,                0.59647,                0.37225,                0.45149,                0.19265,               0.005215,               0.005215,               0.005215
                     90,                0.49326,                0.48547,                0.19126,                0.94594,                 0.8347,                0.85491,                0.59667,                 0.3722,                0.45188,                0.19239,                0.00516,                0.00516,                0.00516
                     91,                0.38923,                0.47119,                0.16206,                0.94604,                0.83413,                0.85418,                0.59765,                0.37171,                 0.4528,                0.19189,               0.005105,               0.005105,               0.005105
                     92,                0.37493,                0.47489,                 0.1586,                0.94978,                 0.8295,                0.85304,                0.59672,                0.37208,                0.45273,                0.19174,                0.00505,                0.00505,                0.00505
